Key #,Core #,ROOM (DESCRIPTION) ,Box Location,In Stock,Assigned,Total
815,NA,CABLE LOCKS FOR LAPTOP SECURITY BOX,1,3,0,3
100T,NA,DISPLAY CASES,2,1,0,1
331C,NA,FLAMMABLE CABINET,3,1,0,1
931/N54,NA,MACHINE SHOP TOOL BOX,4,1,0,1
B1477,NA,LEXTURE HALL VI BOOTH,5,2,0,2
B644A,NA,AV BOX,6,1,0,1
C420A,NA,DRAWER 107, 401,7,1,0
EM501,NA,COMPUTER CABINET (INTRO LABS),8,4,10,17
HL345,NA,STUDENT PICTURE CABINETS,9,0,1,1
L034,NA,105-CABINET 4,10,2,0,2
L086,NA,105-CABINET 6,11,2,0,2
L10087,NA,ROOF,12,1,0,2
L144,NA,105-CABINET 7,13,2,0,2
L211,NA,105-CABINET 11,14,2,0,2
L213,NA,105-CABINET 12,15,2,0,2
L217,NA,105-CABINET 1,16,2,0,2
L231,NA,105-CABINET 2,17,1,0,1
L280,NA,105-CABINET 10,18,2,0,2
L284,NA,105-CABINET 9,19,2,0,2
L290,NA,105-CABINET 8,20,1,0,1
L300,NA,105-CABINET 5,21,2,0,2
M125,NA,224 MODULAR OFFICE,22,1,0,1
M134,NA,FILE CABINET 323,23,3,0,3
M137,NA,224 MODULAR OFFICE,24,2,0,2
M150,NA,224 MODULAR OFFICE,25,2,0,2
M151,NA,224 MODULAR OFFICE,26,4,0,4
M152,NA,224 MODULAR OFFICE,27,3,0,3
M153,NA,224 MODULAR OFFICE,28,4,0,4
M154,NA,224 MODULAR OFFICE,29,2,0,2
M155,NA,224 MODULAR OFFICE,30,1,0,1
M156,NA,224 MODULAR OFFICE,31,4,0,4
M157,NA,224 MODULAR OFFICE,32,4,0,4
M197,NA,105 FILE CABINET,33,3,0,3
M244,NA,224 MODULAR OFFICE,34,1,0,1
MG201,NA,DESK,35,2,0,2
MG203,NA,DESK 219,36,1,0,1
MG205,NA,ELECTRONIC DESK,37,1,0,1
MZ9000,PZ1X,101,38,10,0,10
MZ9001,MZ2,101A,39,2,0,2
MZ9002,PZ3,101B,40,2,0,2
MZ9003,PZ5,016,41,5,10,16
MZ9004,PZ6,016A,42,2,0,2
MZ9006,PZ8,ENTRANCE,43,11,100,133
MZ9008,PZ10,226A,44,1,0,1
MZ9011,PZ,MASTER,45,1,4,5
MZ9024,PZF1X,304,46,3,0,3
MZ9025,PZF2,304A,47,3,10,21
MZ9026,PZF3,OLD 304B,48,29,0,31
MZ9027,PZF4,304C,49,3,5,8
MZ9028,PZF5,304D,50,2,5,7
MZ9032,PZF9,305,51,3,5,10
MZ9190,PXC5,307,52,1,1,2
MZ9036,PZF13X,306,53,3,0,3
MZ9037,PZF14,306A,54,0,11,18
MZ9038,PZF15,306B,55,3,3,12
MZ9039,PZF16,306C,56,3,1,5
